,id,word_order,word,frequency
95,25,2,blumen,3.088
96,25,3,blühen,2.188
97,25,4,im,4.806
98,25,5,garten,2.872
99,253,1,die,5.613
100,253,2,radfahrer,0.477
101,253,3,erkunden,1.716
102,253,4,den,5.181
103,253,5,wald,3.094
104,7,1,unruhig,2.104
105,7,2,tanzen,3.274
106,7,3,blätter,2.204
107,7,4,im,4.806
108,7,5,sonnenschein,2.286
109,119,1,durch,4.218
110,119,2,den,5.181
111,119,3,ständigen,1.716
112,119,4,föhn,1.146
113,119,5,verdorren,0.778
114,119,6,die,5.613
115,119,7,ähren,0.699
116,118,1,bei,4.633
117,118,2,dem,4.883
118,118,3,peitschenknall,0.301
119,118,4,scheuten,0.602
120,118,5,die,5.613
121,118,6,rösser,0.477
122,130,1,einstweilen,1.0
123,130,2,ist,5.705
124,130,3,erfolg,3.077
125,130,4,die,5.613
126,130,5,hauptsache,2.491
127,55,1,durch,4.218
128,55,2,wald,3.094
129,55,3,und,5.565
130,55,4,feld,2.821
131,55,5,führt,3.297
132,55,6,unser,4.042
133,55,7,weg,4.468
134,251,1,der,5.456
135,251,2,regen,3.01
136,251,3,klopft,2.324
137,251,4,ans,3.212
138,251,5,fenster,3.33
139,182,1,der,5.456
140,182,2,regenschirm,2.037
141,182,3,schützt,2.362
142,182,4,vor,4.588
143,182,5,plötzlichem,0.301
144,182,6,regen,3.01
145,92,1,motoren,2.037
146,92,2,brauchen,4.001
147,92,3,benzin,2.684
148,92,4,öl,2.286
149,92,5,und,5.565
150,92,6,wasser,3.752
151,3,1,die,5.613
152,3,2,blumen,3.088
153,3,3,blühen,2.188
154,3,4,im,4.806
155,3,5,winter,2.731
156,3,6,blau,2.834
157,198,1,der,5.456
158,198,2,arzt,3.467
159,198,3,untersucht,2.587
160,198,4,den,5.181
161,198,5,patienten,3.093
162,252,1,der,5.456
163,252,2,lehrer,3.129
164,252,3,erklärt,3.051
165,252,4,schwierige,2.477
166,252,5,konzepte,1.23
167,241,1,der,5.456
168,241,2,nachbar,2.473
169,241,3,trägt,3.138
170,241,4,immer,4.641
171,241,5,hüte,2.276
172,225,1,junge,3.951
173,225,2,erwachsene,2.551
174,225,3,genießen,2.873
175,225,4,das,5.713
176,225,5,stadtfest,0.954
177,89,1,sechs,3.523
178,89,2,mädchen,4.078
179,89,3,wollen,4.353
180,89,4,schwester,3.752
181,89,5,werden,4.7
182,249,1,die,5.613
183,249,2,krankenschwester,2.418
184,249,3,jongliert,1.079
185,249,4,mit,5.214
186,249,5,medikamenten,1.672
187,53,1,die,5.613
188,53,2,kartoffeln,2.318
189,53,3,gehören,3.168
190,53,4,zum,4.568
191,53,5,mittagessen,2.794
192,20,1,der,5.456
193,20,2,regen,3.01
194,20,3,prasselt,0.845
195,20,4,auf,5.157
196,20,5,das,5.713
197,20,6,dachfenster,0.903
198,1,1,morgen,4.218
199,1,2,wird,4.814
200,1,3,es,5.577
201,1,4,neblig,1.0
202,1,5,und,5.565
203,1,6,eiskalt,2.253
204,164,1,der,5.456
205,164,2,regen,3.01
206,164,3,spielt,3.523
207,164,4,klavier,2.464
208,164,5,auf,5.157
209,164,6,den,5.181
210,164,7,dächern,1.447
211,57,1,die,5.613
212,57,2,tante,3.164
213,57,3,bewohnt,1.633
214,57,4,ein,5.339
215,57,5,nettes,2.775
216,57,6,häuschen,2.164
217,52,1,wir,5.448
218,52,2,wollen,4.353
219,52,3,heute,4.388
220,52,4,spazieren,2.732
221,52,5,gehen,4.563
222,126,1,die,5.613
223,126,2,entscheidung,3.305
224,126,3,darfst,3.28
225,126,4,du,5.705
226,126,5,selbst,4.164
227,126,6,fällen,2.525
228,223,1,die,5.613
229,223,2,straßen,2.915
230,223,3,sind,5.072
231,223,4,voller,3.32
232,223,5,fröhlicher,1.74
233,223,6,passanten,1.398
234,120,1,sie,5.753
235,120,2,hat,5.088
236,120,3,die,5.613
237,120,4,neuigkeit,2.061
238,120,5,mit,5.214
239,120,6,genugtuung,1.813
240,120,7,aufgenommen,2.898
241,113,1,er,5.332
242,113,2,hat,5.088
243,113,3,eine,5.132
244,113,4,sprunghafte,0.699
245,113,5,gangart,0.477
246,15,1,der,5.456
247,15,2,alte,3.61
248,15,3,baum,3.01
249,15,4,erzählte,2.944
250,15,5,vom,4.102
251,15,6,leben,4.442
252,157,1,sein,4.854
253,157,2,blick,3.21
254,157,3,streifte,1.23
255,157,4,die,5.613
256,157,5,sterne,2.765
257,142,1,bei,4.633
258,142,2,konkurs,1.342
259,142,3,kennt,3.473
260,142,4,der,5.456
261,142,5,richter,2.952
262,142,6,keine,4.757
263,142,7,gnade,2.706
264,240,1,die,5.613
265,240,2,musiker,2.38
266,240,3,unterhalten,3.062
267,240,4,passanten,1.398
268,240,5,mit,5.214
269,240,6,ihrer,3.799
270,240,7,musik,3.816
271,86,1,heute,4.388
272,86,2,jeder,3.96
273,86,3,strauss,2.076
274,86,4,blumen,3.088
275,86,5,zwei,4.275
276,86,6,mark,3.024
277,135,1,das,5.713
278,135,2,amtliche,0.903
279,135,3,amtsblatt,0.301
280,135,4,liegt,3.761
281,135,5,überm,1.544
282,135,6,durchschnitt,1.892
283,82,1,diese,4.589
284,82,2,durchsage,2.176
285,82,3,ist,5.705
286,82,4,ohne,4.155
287,82,5,gewähr,0.954
288,224,1,ein,5.339
289,224,2,musiker,2.38
290,224,3,verzaubert,1.699
291,224,4,die,5.613
292,224,5,menschenmenge,1.505
293,188,1,die,5.613
294,188,2,blumen,3.088
295,188,3,blühen,2.188
296,188,4,bunt,1.724
297,188,5,im,4.806
298,188,6,blumenkasten,0.301
299,75,1,in,5.311
300,75,2,der,5.456
301,75,3,dämmerung,2.167
302,75,4,kommen,4.392
303,75,5,wir,5.448
304,75,6,heim,3.152
305,151,1,er,5.332
306,151,2,wird,4.814
307,151,3,ihr,4.961
308,151,4,ewig,3.19
309,151,5,treu,2.526
310,151,6,bleiben,4.047
311,43,1,über,4.503
312,43,2,die,5.613
313,43,3,felder,2.117
314,43,4,weht,2.045
315,43,5,ein,5.339
316,43,6,wind,3.122
317,72,1,hier,5.109
318,72,2,richten,2.797
319,72,3,zimmerleute,0.602
320,72,4,ein,5.339
321,72,5,dach,3.093
322,117,1,ein,5.339
323,117,2,stückchen,2.137
324,117,3,weiter,4.115
325,117,4,nördlich,2.223
326,117,5,ist,5.705
327,117,6,eine,5.132
328,117,7,umgehungsstraße,0.301
329,165,1,in,5.311
330,165,2,ihrem,3.764
331,165,3,blick,3.21
332,165,4,lag,3.12
333,165,5,eine,5.132
334,165,6,tiefe,2.625
335,165,7,sehnsucht,2.267
336,65,1,wir,5.448
337,65,2,haben,5.065
338,65,3,ein,5.339
339,65,4,abteil,1.519
340,65,5,extra,2.926
341,65,6,für,5.065
342,65,7,uns,4.928
343,148,1,schnaps,2.326
344,148,2,im,4.806
345,148,3,tee,3.176
346,148,4,verfälscht,1.23
347,148,5,das,5.713
348,148,6,aroma,1.447
349,4,1,das,5.713
350,4,2,kalte,2.43
351,4,3,licht,3.493
352,4,4,leuchtet,2.111
353,4,5,am,4.418
354,4,6,morgen,4.218
355,37,1,ihr,4.961
356,37,2,lachen,3.329
357,37,3,hallte,1.0
358,37,4,durch,4.218
359,37,5,den,5.181
360,37,6,leeren,2.565
361,37,7,park,3.17
362,121,1,nach,4.714
363,121,2,der,5.456
364,121,3,harten,2.577
365,121,4,arbeit,3.986
366,121,5,brauche,3.95
367,121,6,ich,5.969
368,121,7,zerstreuung,1.23
369,112,1,in,5.311
370,112,2,den,5.181
371,112,3,bergen,2.645
372,112,4,kann,4.876
373,112,5,man,4.713
374,112,6,ski,1.851
375,112,7,laufen,3.541
376,156,1,am,4.418
377,156,2,himmel,3.478
378,156,3,fliegt,2.986
379,156,4,ein,5.339
380,156,5,schwarm,1.863
381,156,6,zugvögel,0.845
382,156,7,vorbei,3.819
383,140,1,der,5.456
384,140,2,termin,2.847
385,140,3,des,4.46
386,140,4,treffpunkts,0.477
387,140,5,wird,4.814
388,140,6,noch,4.969
389,140,7,abgesprochen,1.531
390,178,1,die,5.613
391,178,2,sonne,3.217
392,178,3,strahlt,1.826
393,178,4,am,4.418
394,178,5,wolkenlosen,0.699
395,178,6,himmel,3.478
396,189,1,die,5.613
397,189,2,uhr,3.836
398,189,3,tickt,1.94
399,189,4,ruhig,3.796
400,189,5,an,5.01
401,189,6,der,5.456
402,189,7,wand,3.08
403,163,1,zwölf,2.783
404,163,2,wanderer,1.732
405,163,3,wollen,4.353
406,163,4,den,5.181
407,163,5,gipfel,2.076
408,163,6,erklimmen,1.477
409,64,1,löst,2.551
410,64,2,doch,4.795
411,64,3,die,5.613
412,64,4,fahrkarten,1.74
413,64,5,am,4.418
414,64,6,schalter,2.423
415,5,1,im,4.806
416,5,2,wald,3.094
417,5,3,plätschert,1.041
418,5,4,eine,5.132
419,5,5,dunkle,2.551
420,5,6,quelle,2.812
421,206,1,die,5.613
422,206,2,musik,3.816
423,206,3,erklingt,1.431
424,206,4,sanft,2.428
425,206,5,im,4.806
426,206,6,raum,3.352
427,213,1,der,5.456
428,213,2,nachbar,2.473
429,213,3,sang,2.158
430,213,4,unter,4.027
431,213,5,der,5.456
432,213,6,dusche,2.689
433,213,7,oper,2.281
434,217,1,ein,5.339
435,217,2,bunter,1.301
436,217,3,schmetterling,2.097
437,217,4,tanzt,2.702
438,217,5,im,4.806
439,217,6,sonnenlicht,2.064
440,13,1,durch,4.218
441,13,2,den,5.181
442,13,3,regen,3.01
443,13,4,leuchtet,2.111
444,13,5,das,5.713
445,13,6,feuer,3.559
446,93,1,unser,4.042
447,93,2,doktor,3.456
448,93,3,besucht,2.77
449,93,4,vater,4.221
450,93,5,täglich,2.734
451,107,1,unserer,3.682
452,107,2,tante,3.164
453,107,3,fehlt,3.209
454,107,4,gar,4.116
455,107,5,nichts,4.687
456,78,1,böse,3.475
457,78,2,menschen,4.058
458,78,3,verdienen,3.04
459,78,4,ihre,4.373
460,78,5,strafe,2.829
461,214,1,ein,5.339
462,214,2,leiser,2.431
463,214,3,windhauch,0.778
464,214,4,streift,1.398
465,214,5,die,5.613
466,214,6,wiesen,1.681
467,169,1,der,5.456
468,169,2,alte,3.61
469,169,3,baum,3.01
470,169,4,knarrt,1.519
471,169,5,bei,4.633
472,169,6,jedem,3.367
473,169,7,windstoß,1.23
474,33,1,die,5.613
475,33,2,sonne,3.217
476,33,3,scheint,3.661
477,33,4,am,4.418
478,33,5,blauen,2.695
479,33,6,himmel,3.478
480,183,1,die,5.613
481,183,2,treppe,2.803
482,183,3,führt,3.297
483,183,4,ins,4.089
484,183,5,kuschelige,1.079
485,183,6,schlafzimmer,2.79
486,174,1,das,5.713
487,174,2,fahrrad,2.54
488,174,3,rollt,1.929
489,174,4,leise,2.877
490,174,5,über,4.503
491,174,6,kopfsteinpflaster,0.477
492,42,1,am,4.418
493,42,2,blauen,2.695
494,42,3,himmel,3.478
495,42,4,ziehen,3.497
496,42,5,die,5.613
497,42,6,wolken,2.569
498,234,1,senioren,1.447
499,234,2,machen,4.59
500,234,3,morgendliche,1.38
501,234,4,gymnastik,1.613
502,234,5,im,4.806
503,234,6,park,3.17
504,147,1,ein,5.339
505,147,2,primitiver,1.0
506,147,3,mensch,3.654
507,147,4,wird,4.814
508,147,5,keine,4.757
509,147,6,scheu,1.633
510,147,7,kennen,3.907
511,6,1,wild,2.831
512,6,2,pfeift,2.403
513,6,3,der,5.456
514,6,4,wind,3.122
515,6,5,durch,4.218
516,6,6,die,5.613
517,6,7,wände,2.447
518,131,1,fünf,3.71
519,131,2,filmtitel,0.954
520,131,3,müssen,4.471
521,131,4,wir,5.448
522,131,5,aufschreiben,2.204
523,36,1,die,5.613
524,36,2,freunde,3.849
525,36,3,schauten,1.708
526,36,4,verwirrt,2.858
527,36,5,auf,5.157
528,36,6,ihr,4.961
529,36,7,getränk,2.107
530,187,1,die,5.613
531,187,2,wolken,2.569
532,187,3,malen,2.626
533,187,4,geschichten,2.968
534,187,5,am,4.418
535,187,6,himmel,3.478
536,250,1,die,5.613
537,250,2,freunde,3.849
538,250,3,treffen,3.804
539,250,4,sich,4.923
540,250,5,am,4.418
541,250,6,see,3.017
542,114,1,es,5.577
543,114,2,wird,4.814
544,114,3,auch,4.866
545,114,4,da,4.97
546,114,5,chinesisch,2.318
547,114,6,gesprochen,3.403
548,210,1,der,5.456
549,210,2,regenbogen,1.968
550,210,3,endete,2.338
551,210,4,im,4.806
552,210,5,blumentopf,1.279
553,153,1,die,5.613
554,153,2,melodie,2.348
555,153,3,klingt,3.539
556,153,4,nach,4.714
557,153,5,sommer,2.938
558,14,1,fünf,3.71
559,14,2,freunde,3.849
560,14,3,wollen,4.353
561,14,4,die,5.613
562,14,5,welt,4.082
563,14,6,bereisen,1.447
564,243,1,die,5.613
565,243,2,bäckerin,0.845
566,243,3,singt,2.978
567,243,4,fröhlich,2.43
568,243,5,beim,3.942
569,243,6,brötchenbacken,0.301
570,67,1,leise,2.877
571,67,2,rollen,2.664
572,67,3,wir,5.448
573,67,4,aus,4.851
574,67,5,dem,4.883
575,67,6,bahnhof,2.645
576,110,1,wenn,5.06
577,110,2,der,5.456
578,110,3,schnee,2.782
579,110,4,schmilzt,1.94
580,110,5,kommt,4.398
581,110,6,der,5.456
582,110,7,frühling,2.509
583,108,1,schulkinder,1.398
584,108,2,müssen,4.471
585,108,3,rechnen,2.453
586,108,4,und,5.565
587,108,5,schreiben,3.419
588,108,6,lernen,3.597
589,73,1,es,5.577
590,73,2,gehört,4.161
591,73,3,zu,5.369
592,73,4,einer,4.524
593,73,5,feldscheune,0.301
594,195,1,vor,4.588
595,195,2,dem,4.883
596,195,3,fenster,3.33
597,195,4,summt,2.241
598,195,5,eine,5.132
599,195,6,kleine,3.857
600,195,7,biene,2.086
601,111,1,englische,2.286
602,111,2,kriminalromane,1.041
603,111,3,sind,5.072
604,111,4,ihm,4.535
605,111,5,die,5.613
606,111,6,liebste,2.453
607,111,7,lektüre,1.342
608,22,1,im,4.806
609,22,2,park,3.17
610,22,3,traf,3.027
611,22,4,ich,5.969
612,22,5,meinen,4.319
613,22,6,deutschlehrer,0.301
614,216,1,mein,4.792
615,216,2,chef,3.232
616,216,3,hat,5.088
617,216,4,eine,5.132
618,216,5,seltsame,2.637
619,216,6,frisur,2.5
620,54,1,danach,3.507
621,54,2,tut,4.45
622,54,3,eine,5.132
623,54,4,wanderung,1.505
624,54,5,gut,4.858
625,62,1,er,5.332
626,62,2,gewinnt,2.961
627,62,3,sechs,3.523
628,62,4,spiele,3.119
629,62,5,nacheinander,1.851
630,70,1,ein,5.339
631,70,2,bauer,3.279
632,70,3,arbeitet,3.374
633,70,4,auf,5.157
634,70,5,seinem,3.75
635,70,6,acker,1.568
636,88,1,sie,5.753
637,88,2,isst,3.053
638,88,3,kein,4.464
639,88,4,salziges,0.845
640,88,5,gericht,3.062
641,47,1,im,4.806
642,47,2,geschäft,3.38
643,47,3,stehen,3.804
644,47,4,viele,4.074
645,47,5,leute,4.305
646,179,1,der,5.456
647,179,2,laptop,2.303
648,179,3,surft,1.114
649,179,4,schnell,4.061
650,179,5,im,4.806
651,179,6,internet,2.763
652,247,1,der,5.456
653,247,2,postbote,1.681
654,247,3,liest,2.894
655,247,4,gedichte,2.241
656,247,5,beim,3.942
657,247,6,zustellen,0.903
658,18,1,die,5.613
659,18,2,waschmaschine,1.863
660,18,3,summt,2.241
661,18,4,sanft,2.428
662,18,5,im,4.806
663,18,6,hintergrund,2.804
664,122,1,der,5.456
665,122,2,löwe,2.149
666,122,3,schleicht,1.898
667,122,4,im,4.806
668,122,5,käfig,2.524
669,122,6,umher,2.201
670,154,1,vor,4.588
671,154,2,dem,4.883
672,154,3,haus,4.014
673,154,4,blühen,2.188
674,154,5,bunte,1.613
675,154,6,blumenbeete,0.602
676,81,1,stehend,1.623
677,81,2,macht,4.365
678,81,3,man,4.713
679,81,4,seine,4.292
680,81,5,aussage,2.752
681,242,1,die,5.613
682,242,2,verkäuferin,1.763
683,242,3,hat,5.088
684,242,4,einen,4.93
685,242,5,ungewöhnlichen,1.851
686,242,6,akzent,2.505
687,134,1,die,5.613
688,134,2,letztmalige,0.301
689,134,3,feststellung,1.322
690,134,4,war,5.05
691,134,5,eindrucksvoll,1.799
692,38,1,sein,4.854
693,38,2,singen,3.191
694,38,3,erfüllte,1.623
695,38,4,den,5.181
696,38,5,stillen,2.193
697,38,6,wald,3.094
698,32,1,die,5.613
699,32,2,katze,3.046
700,32,3,schläft,3.028
701,32,4,auf,5.157
702,32,5,dem,4.883
703,32,6,sofa,2.452
704,155,1,in,5.311
705,155,2,der,5.456
706,155,3,bucht,2.199
707,155,4,glitzern,1.519
708,155,5,die,5.613
709,155,6,silbernen,1.886
710,155,7,wellen,2.377
711,77,1,geld,4.213
712,77,2,allein,3.89
713,77,3,macht,4.365
714,77,4,nicht,5.647
715,77,5,glücklich,3.618
716,19,1,auf,5.157
717,19,2,dem,4.883
718,19,3,gehweg,1.431
719,19,4,quietschen,2.328
720,19,5,kinderfahrräder,0.301
721,98,1,zum,4.568
722,98,2,ausweis,2.661
723,98,3,gehört,4.161
724,98,4,ein,5.339
725,98,5,lichtbild,0.301
726,71,1,der,5.456
727,71,2,pflug,0.954
728,71,3,zieht,3.249
729,71,4,tiefe,2.625
730,71,5,furchen,0.778
731,228,1,ein,5.339
732,228,2,künstler,2.723
733,228,3,malt,2.025
734,228,4,porträts,1.23
735,228,5,auf,5.157
736,228,6,dem,4.883
737,228,7,marktplatz,1.398
738,61,1,vater,4.221
739,61,2,mischt,2.086
740,61,3,gleich,4.111
741,61,4,die,5.613
742,61,5,karten,3.087
743,246,1,der,5.456
744,246,2,kellner,2.394
745,246,3,jongliert,1.079
746,246,4,mit,5.214
747,246,5,den,5.181
748,246,6,speisekarten,1.255
749,162,1,im,4.806
750,162,2,meer,3.068
751,162,3,tummeln,0.845
752,162,4,sich,4.923
753,162,5,faszinierende,1.732
754,162,6,lebensformen,1.833
755,221,1,ein,5.339
756,221,2,älteres,1.079
757,221,3,paar,4.177
758,221,4,spaziert,1.602
759,221,5,hand,3.772
760,221,6,in,5.311
761,221,7,hand,3.772
762,115,1,vor,4.588
763,115,2,der,5.456
764,115,3,hütte,2.661
765,115,4,sitzt,3.31
766,115,5,ein,5.339
767,115,6,großer,3.507
768,115,7,heuhaufen,1.556
769,29,1,autos,3.045
770,29,2,fahren,3.829
771,29,3,auf,5.157
772,29,4,der,5.456
773,29,5,straße,3.501
774,170,1,der,5.456
775,170,2,kaffeeplausch,0.301
776,170,3,wurde,4.364
777,170,4,von,5.067
778,170,5,ameisen,2.072
779,170,6,gestört,2.644
780,171,1,der,5.456
781,171,2,fernseher,2.913
782,171,3,spielt,3.523
783,171,4,eigenwillige,0.778
784,171,5,liebesfilme,0.778
785,143,1,beim,3.942
786,143,2,studienkurs,0.301
787,143,3,musst,4.2
788,143,4,du,5.705
789,143,5,ernsthaft,2.962
790,143,6,lernen,3.597
791,49,1,vater,4.221
792,49,2,will,4.663
793,49,3,sich,4.923
794,49,4,eine,5.132
795,49,5,pfeife,2.412
796,49,6,anzünden,2.188
797,196,1,im,4.806
798,196,2,gebirge,1.556
799,196,3,glitzern,1.519
800,196,4,die,5.613
801,196,5,schneebedeckten,0.845
802,196,6,gipfel,2.076
803,85,1,öfen,1.146
804,85,2,brauchen,4.001
805,85,3,kohlen,1.756
806,85,4,und,5.565
807,85,5,briketts,0.477
808,145,1,die,5.613
809,145,2,hilfsmannschaft,0.301
810,145,3,setzt,3.179
811,145,4,sich,4.923
812,145,5,in,5.311
813,145,6,marsch,2.435
814,236,1,in,5.311
815,236,2,der,5.456
816,236,3,galerie,2.079
817,236,4,bewundern,2.1
818,236,5,besucher,2.544
819,236,6,zeitgenössische,1.079
820,236,7,kunst,2.852
821,255,1,auf,5.157
822,255,2,dem,4.883
823,255,3,dach,3.093
824,255,4,singt,2.978
825,255,5,fröhlich,2.43
826,255,6,ein,5.339
827,255,7,vogel,3.0
828,9,1,flüsternd,0.845
829,9,2,erzählt,3.725
830,9,3,der,5.456
831,9,4,wind,3.122
832,9,5,geschichten,2.968
833,191,1,der,5.456
834,191,2,kamin,2.217
835,191,3,verbreitet,2.348
836,191,4,wohlige,0.477
837,191,5,wärme,2.394
838,95,1,unsere,4.193
839,95,2,beiden,3.661
840,95,3,hunde,3.028
841,95,4,haben,5.065
842,95,5,durst,2.559
843,125,1,im,4.806
844,125,2,dschungel,2.7
845,125,3,herrscht,2.55
846,125,4,skrupellose,1.041
847,125,5,lebensform,1.94
848,222,1,die,5.613
849,222,2,freunde,3.849
850,222,3,teilen,3.15
851,222,4,geschichten,2.968
852,222,5,am,4.418
853,222,6,lagerfeuer,1.792
854,141,1,nach,4.714
855,141,2,einer,4.524
856,141,3,umfrage,1.699
857,141,4,kennt,3.473
858,141,5,niemand,3.963
859,141,6,dieses,4.215
860,141,7,fremdwort,1.079
861,259,1,der,5.456
862,259,2,nachbar,2.473
863,259,3,trägt,3.138
864,259,4,heute,4.388
865,259,5,einen,4.93
866,259,6,bunten,1.415
867,259,7,anzug,2.949
868,133,1,achtlos,0.699
869,133,2,wirft,2.665
870,133,3,der,5.456
871,133,4,knirps,2.086
872,133,5,matsch,1.643
873,133,6,durchs,2.708
874,133,7,eckfenster,0.301
875,197,1,der,5.456
876,197,2,bus,3.121
877,197,3,fährt,3.202
878,197,4,durch,4.218
879,197,5,die,5.613
880,197,6,stadt,3.887
881,218,1,die,5.613
882,218,2,straßenlaternen,0.477
883,218,3,leuchten,2.143
884,218,4,im,4.806
885,218,5,abendnebel,0.301
886,12,1,der,5.456
887,12,2,fluss,3.086
888,12,3,plätschert,1.041
889,12,4,sanft,2.428
890,12,5,durch,4.218
891,12,6,das,5.713
892,12,7,tal,2.526
893,238,1,kollegen,2.818
894,238,2,feiern,3.097
895,238,3,den,5.181
896,238,4,abschluss,2.67
897,238,5,eines,4.008
898,238,6,erfolgreichen,1.875
899,238,7,projekts,1.531
900,132,1,ängstlich,2.294
901,132,2,begreifst,2.076
902,132,3,du,5.705
903,132,4,omas,1.763
904,132,5,lage,3.316
905,212,1,die,5.613
906,212,2,tomate,1.708
907,212,3,im,4.806
908,212,4,kühlschrank,2.672
909,212,5,keimte,0.301
910,80,1,nervöse,1.342
911,80,2,menschen,4.058
912,80,3,brauchen,4.001
913,80,4,viel,4.436
914,80,5,ruhe,3.745
915,146,1,am,4.418
916,146,2,samstag,2.794
917,146,3,öffnet,2.818
918,146,4,der,5.456
919,146,5,kiosk,1.398
920,146,6,erstmals,2.061
921,158,1,das,5.713
922,158,2,echo,2.49
923,158,3,trägt,3.138
924,158,4,gedichte,2.241
925,158,5,fort,3.314
926,35,1,das,5.713
927,35,2,baby,3.916
928,35,3,lachte,2.021
929,35,4,über,4.503
930,35,5,die,5.613
931,35,6,fliegenden,1.978
932,35,7,luftballons,1.255
933,50,1,seine,4.292
934,50,2,frau,4.338
935,50,3,macht,4.365
936,50,4,ein,5.339
937,50,5,trauriges,1.898
938,50,6,gesicht,3.695
939,167,1,die,5.613
940,167,2,tür,3.808
941,167,3,knarrt,1.519
942,167,4,laut,3.333
943,167,5,beim,3.942
944,167,6,öffnen,3.259
945,200,1,der,5.456
946,200,2,fernseher,2.913
947,200,3,zeigt,3.252
948,200,4,die,5.613
949,200,5,nachrichten,3.208
950,180,1,die,5.613
951,180,2,lampe,2.549
952,180,3,spendet,1.653
953,180,4,angenehmes,1.505
954,180,5,helles,1.663
955,180,6,licht,3.493
956,105,1,diese,4.589
957,105,2,zarten,1.602
958,105,3,blumen,3.088
959,105,4,welken,1.0
960,105,5,rasch,2.292
961,10,1,seine,4.292
962,10,2,worte,3.345
963,10,3,schwebten,0.699
964,10,4,wie,5.181
965,10,5,schmetterlinge,2.004
966,245,1,die,5.613
967,245,2,gärtnerin,0.845
968,245,3,tanzt,2.702
969,245,4,zwischen,3.703
970,245,5,den,5.181
971,245,6,blumenbeeten,0.477
972,220,1,der,5.456
973,220,2,mondschein,1.869
974,220,3,taucht,2.556
975,220,4,die,5.613
976,220,5,landschaft,2.17
977,220,6,in,5.311
978,220,7,silber,2.297
979,177,1,das,5.713
980,177,2,buch,3.486
981,177,3,liegt,3.761
982,177,4,auf,5.157
983,177,5,dem,4.883
984,177,6,gemütlichen,1.447
985,177,7,sofa,2.452
986,101,1,adler,2.225
987,101,2,fliegen,3.435
988,101,3,tausend,2.797
989,101,4,meter,3.085
990,101,5,hoch,3.732
991,46,1,messer,3.113
992,46,2,und,5.565
993,46,3,gabel,2.064
994,46,4,liegen,3.335
995,46,5,neben,3.223
996,46,6,dem,4.883
997,46,7,teller,2.548
998,230,1,die,5.613
999,230,2,familie,3.911
1000,230,3,genießt,2.427
1001,230,4,gemeinsames,1.944
1002,230,5,abendessen,3.074
1003,239,1,ein,5.339
1004,239,2,älteres,1.079
1005,239,3,ehepaar,1.898
1006,239,4,tanzt,2.702
1007,239,5,auf,5.157
1008,239,6,der,5.456
1009,239,7,hochzeitsfeier,1.505
1010,235,1,die,5.613
1011,235,2,hochzeit,3.199
1012,235,3,versammelt,2.403
1013,235,4,familie,3.911
